pond	block	date	timepoint	treatment	replicates	duckweed_number	aphid_number																									
1A	1	26.05.2025	0	control	1	1920	75																									
1B	1	26.05.2025	0	heated	1	1920	75																									
2A	2	26.05.2025	0	control	1	1920	75																									
2B	2	26.05.2025	0	heated	1	1920	75																									
3A	3	26.05.2025	0	heated	1	1920	75																									
3B	3	26.05.2025	0	control	1	1920	75																									
4A	4	26.05.2025	0	heated	1	1920	75																									
4B	4	26.05.2025	0	control	1	1920	75																									
5A	5	26.05.2025	0	control	1	1920	75																									
5B	5	26.05.2025	0	heated	1	1920	75																									
6A	6	26.05.2025	0	control	1	1920	75																									
6B	6	26.05.2025	0	heated	1	1920	75																									
7A	7	26.05.2025	0	heated	1	1920	75																									
7B	7	26.05.2025	0	control	1	1920	75																									
8A	8	26.05.2025	0	heated	1	1920	75																									
8B	8	26.05.2025	0	control	1	1920	75																									
9A	9	26.05.2025	0	control	1	1920	75																									
9B	9	26.05.2025	0	heated	1	1920	75																									
10A	10	26.05.2025	0	control	1	1920	75																									
10B	10	26.05.2025	0	heated	1	1920	75																									
11A	11	26.05.2025	0	heated	1	1920	75																									
11B	11	26.05.2025	0	control	1	1920	75																									
12A	12	26.05.2025	0	heated	1	1920	75																									
12B	12	26.05.2025	0	control	1	1920	75																									
13A	13	26.05.2025	0	control	1	1920	75																									
13B	13	26.05.2025	0	heated	1	1920	75																									
14A	14	26.05.2025	0	control	1	1920	75																									
14B	14	26.05.2025	0	heated	1	1920	75																									
15A	15	26.05.2025	0	heated	1	1920	75																									
15B	15	26.05.2025	0	control	1	1920	75																									
16A	16	26.05.2025	0	heated	1	1920	75																									
16B	16	26.05.2025	0	control	1	1920	75																									
1A	1	02.06.2025	1	control	1	50	9																									
1A	1	02.06.2025	1	control	2	50	10																									
1A	1	02.06.2025	1	control	3	50	10																									
1A	1	02.06.2025	1	control	4	50	4																									
1A	1	02.06.2025	1	control	5	50	8																									
1A	1	02.06.2025	1	control	6	50	15																									
1B	1	02.06.2025	1	heated	1	50	14																									
1B	1	02.06.2025	1	heated	2	50	0																									
1B	1	02.06.2025	1	heated	3	50	17																									
1B	1	02.06.2025	1	heated	4	50	13																									
1B	1	02.06.2025	1	heated	5	50	13																									
1B	1	02.06.2025	1	heated	6	50	19																									
2A	2	02.06.2025	1	control	1	50	12																									
2A	2	02.06.2025	1	control	2	50	16																									
2A	2	02.06.2025	1	control	3	50	8																									
2A	2	02.06.2025	1	control	4	50	12																									
2A	2	02.06.2025	1	control	5	50	5																									
2A	2	02.06.2025	1	control	6	50	1																									
2B	2	02.06.2025	1	heated	1	50	0																									
2B	2	02.06.2025	1	heated	2	50	0																									
2B	2	02.06.2025	1	heated	3	50	4																									
2B	2	02.06.2025	1	heated	4	50	7																									
2B	2	02.06.2025	1	heated	5	50	11																									
