ID	pond	block	date	timepoint	treatment	count	area	area_frond	preweight_mg	weight_mg	dryweight_mg	weight_frond
1A	1A	1	28/07/2025	9	control	645	7474.2911	11.58804822	13258.3	13400.8	142.5	0.220930233
1B	1B	1	28/07/2025	9	heated	NA	NA	NA	NA	NA	NA	NA
2A	2A	2	28/07/2025	9	control	NA	NA	NA	NA	NA	NA	NA
2B	2B	2	28/07/2025	9	heated	663	9946.9468	15.00293635	13397.9	13541.7	143.8	0.216892911
3A	3A	3	28/07/2025	9	heated	691	14340.0747	20.75264067	13503.6	13743.5	239.9	0.347178003
3B	3B	3	28/07/2025	9	control	510	6954.8537	13.63696804	13553.2	13653.4	100.2	0.196470588
4A	4A	4	28/07/2025	9	heated	504	9483.9643	18.81738948	13366.8	13465.2	98.4	0.195238095
4B	4B	4	28/07/2025	9	control	389	8697.1015	22.3575874	13482.1	13626.4	144.3	0.370951157
5A	5A	5	28/07/2025	9	control	739	8436.5008	11.41610392	13361.3	13504.9	143.6	0.194316644
5B	5B	5	28/07/2025	9	heated	515	7065.2557	13.71894311	13431.2	13534.2	103	0.2
6A	6A	6	28/07/2025	9	control	418	5792.6065	13.85791029	13359.5	13456.9	97.4	0.233014354
6B	6B	6	28/07/2025	9	heated	561	9741.5195	17.36456239	13472.5	13624.7	152.2	0.271301248
7A	7A	7	28/07/2025	9	heated	551	9082.4026	16.48348929	13362.9	13481.1	118.2	0.214519056
7B	7B	7	28/07/2025	9	control	NA	NA	NA	NA	NA	NA	NA
8A	8A	8	28/07/2025	9	heated	708	12956.6246	18.30031723	13452.6	13621.2	168.6	0.238135593
8B	8B	8	28/07/2025	9	control	702	9105.7121	12.97109986	13420.1	13552.3	132.2	0.188319088
9A	9A	9	28/07/2025	9	control	254	2990.4416	11.77339213	13438.9	13487.6	48.7	0.191732283
9B	9B	9	28/07/2025	9	heated	297	4246.6969	14.29864276	13504.3	13596.7	92.4	0.311111111
10A	10A	10	28/07/2025	9	control	319	4020.1509	12.60235392	13353.3	13419.4	66.1	0.207210031
10B	10B	10	28/07/2025	9	heated	552	8613.3426	15.60388152	13550.3	13651.5	101.2	0.183333333
11A	11A	11	28/07/2025	9	heated	625	9719.8564	15.55177024	13453.9	13590.1	136.2	0.21792
11B	11B	11	28/07/2025	9	control	505	5514.6408	10.92008079	13494	13592.4	98.4	0.194851485
12A	12A	12	28/07/2025	9	heated	388	9721.1964	25.0546299	13474.9	13617.5	142.6	0.367525773
12B	12B	12	28/07/2025	9	control	865	8859.3862	10.24206497	13509.8	13666.7	156.9	0.181387283
13A	13A	13	28/07/2025	9	control	561	7293.1573	13.00028039	13533.7	13677.1	143.4	0.255614973
13B	13B	13	28/07/2025	9	heated	174	5329.0552	30.62675402	13501.2	13590.7	89.5	0.514367816
14A	14A	14	28/07/2025	9	control	397	4946.7793	12.46040126	13408.2	13484.5	76.3	0.192191436
14B	14B	14	28/07/2025	9	heated	473	8823.9907	18.65537146	13438.5	13545.6	107.1	0.226427061
15A	15A	15	28/07/2025	9	heated	290	7150.2702	24.65610414	13467.5	13557	89.5	0.30862069
15B	15B	15	28/07/2025	9	control	NA	NA	NA	NA	NA	NA	NA
16A	16A	16	28/07/2025	9	heated	303	8201.3049	27.06701287	13446.5	13561.5	115	0.379537954
16B	16B	16	28/07/2025	9	control	509	9251.247	18.17533792	13470.6	13575.5	104.9	0.206090373
