ID	pond	block	date	timepoint	treatment	duckweed_coverage	snail
1A	1A	1	26.05.2025	0	control	3	8
1B	1B	1	26.05.2025	0	heated	3	8
2A	2A	2	26.05.2025	0	control	3	8
2B	2B	2	26.05.2025	0	heated	3	8
3A	3A	3	26.05.2025	0	heated	3	8
3B	3B	3	26.05.2025	0	control	3	8
4A	4A	4	26.05.2025	0	heated	3	8
4B	4B	4	26.05.2025	0	control	3	8
5A	5A	5	26.05.2025	0	control	3	8
5B	5B	5	26.05.2025	0	heated	3	8
6A	6A	6	26.05.2025	0	control	3	8
6B	6B	6	26.05.2025	0	heated	3	8
7A	7A	7	26.05.2025	0	heated	3	8
7B	7B	7	26.05.2025	0	control	3	8
8A	8A	8	26.05.2025	0	heated	3	8
8B	8B	8	26.05.2025	0	control	3	8
9A	9A	9	26.05.2025	0	control	3	8
9B	9B	9	26.05.2025	0	heated	3	8
10A	10A	10	26.05.2025	0	control	3	8
10B	10B	10	26.05.2025	0	heated	3	8
11A	11A	11	26.05.2025	0	heated	3	8
11B	11B	11	26.05.2025	0	control	3	8
12A	12A	12	26.05.2025	0	heated	3	8
12B	12B	12	26.05.2025	0	control	3	8
13A	13A	13	26.05.2025	0	control	3	8
13B	13B	13	26.05.2025	0	heated	3	8
14A	14A	14	26.05.2025	0	control	3	8
14B	14B	14	26.05.2025	0	heated	3	8
15A	15A	15	26.05.2025	0	heated	3	8
15B	15B	15	26.05.2025	0	control	3	8
16A	16A	16	26.05.2025	0	heated	3	8
16B	16B	16	26.05.2025	0	control	3	8
1A	1A	1	02.06.2025	1	control	3	NA
1B	1B	1	02.06.2025	1	heated	3	NA
2A	2A	2	02.06.2025	1	control	3	NA
2B	2B	2	02.06.2025	1	heated	3	NA
3A	3A	3	02.06.2025	1	heated	3	NA
3B	3B	3	02.06.2025	1	control	3	NA
4A	4A	4	02.06.2025	1	heated	3	NA
4B	4B	4	02.06.2025	1	control	3	NA
5A	5A	5	02.06.2025	1	control	3	NA
5B	5B	5	02.06.2025	1	heated	3	NA
6A	6A	6	02.06.2025	1	control	3	NA
6B	6B	6	02.06.2025	1	heated	3	NA
7A	7A	7	02.06.2025	1	heated	3	NA
7B	7B	7	02.06.2025	1	control	3	NA
8A	8A	8	02.06.2025	1	heated	3	NA
8B	8B	8	02.06.2025	1	control	3	NA
9A	9A	9	02.06.2025	1	control	3	NA
9B	9B	9	02.06.2025	1	heated	3	NA
10A	10A	10	02.06.2025	1	control	3	NA
10B	10B	10	02.06.2025	1	heated	3	NA
11A	11A	11	02.06.2025	1	heated	3	NA
11B	11B	11	02.06.2025	1	control	3	NA
12A	12A	12	02.06.2025	1	heated	3	NA
12B	12B	12	02.06.2025	1	control	3	NA
13A	13A	13	02.06.2025	1	control	3	NA
13B	13B	13	02.06.2025	1	heated	3	NA
14A	14A	14	02.06.2025	1	control	3	NA
14B	14B	14	02.06.2025	1	heated	3	NA
15A	15A	15	02.06.2025	1	heated	3	NA
15B	15B	15	02.06.2025	1	control	3	NA
16A	16A	16	02.06.2025	1	heated	3	NA
16B	16B	16	02.06.2025	1	control	3	NA
1A	1A	1	17.06.2025	3	control	4	NA
1B	1B	1	17.06.2025	3	heated	6	NA
2A	2A	2	17.06.2025	3	control	5	NA
2B	2B	2	17.06.2025	3	heated	6	NA
3A	3A	3	17.06.2025	3	heated	5	NA
3B	3B	3	17.06.2025	3	control	6	NA
4A	4A	4	17.06.2025	3	heated	7	NA
4B	4B	4	17.06.2025	3	control	4	NA
5A	5A	5	17.06.2025	3	control	4	NA
5B	5B	5	17.06.2025	3	heated	5	NA
6A	6A	6	17.06.2025	3	control	4	NA
6B	6B	6	17.06.2025	3	heated	5	NA
7A	7A	7	17.06.2025	3	heated	5	NA
7B	7B	7	17.06.2025	3	control	4	NA
8A	8A	8	17.06.2025	3	heated	5	NA
8B	8B	8	17.06.2025	3	control	5	NA
9A	9A	9	17.06.2025	3	control	5	NA
9B	9B	9	17.06.2025	3	heated	5	NA
10A	10A	10	17.06.2025	3	control	5	NA
10B	10B	10	17.06.2025	3	heated	5	NA
11A	11A	11	17.06.2025	3	heated	5	NA
11B	11B	11	17.06.2025	3	control	4	NA
12A	12A	12	17.06.2025	3	heated	5	NA
12B	12B	12	17.06.2025	3	control	5	NA
13A	13A	13	17.06.2025	3	control	4	NA
13B	13B	13	17.06.2025	3	heated	4	NA
14A	14A	14	17.06.2025	3	control	5	NA
14B	14B	14	17.06.2025	3	heated	5	NA
15A	15A	15	17.06.2025	3	heated	6	NA
15B	15B	15	17.06.2025	3	control	5	NA
16A	16A	16	17.06.2025	3	heated	5	NA
16B	16B	16	17.06.2025	3	control	5	NA
1A	1A	1	30.06.2025	5	control	2	NA
1B	1B	1	30.06.2025	5	heated	6	NA
2A	2A	2	30.06.2025	5	control	4	NA
2B	2B	2	30.06.2025	5	heated	8	NA
3A	3A	3	30.06.2025	5	heated	4	NA
3B	3B	3	30.06.2025	5	control	6	NA
4A	4A	4	30.06.2025	5	heated	8	NA
4B	4B	4	30.06.2025	5	control	10	NA
5A	5A	5	30.06.2025	5	control	3	NA
5B	5B	5	30.06.2025	5	heated	3	NA
6A	6A	6	30.06.2025	5	control	3	NA
6B	6B	6	30.06.2025	5	heated	6	NA
7A	7A	7	30.06.2025	5	heated	4	NA
7B	7B	7	30.06.2025	5	control	4	NA
8A	8A	8	30.06.2025	5	heated	4	NA
8B	8B	8	30.06.2025	5	control	4	NA
9A	9A	9	30.06.2025	5	control	4	NA
9B	9B	9	30.06.2025	5	heated	5	NA
10A	10A	10	30.06.2025	5	control	4	NA
10B	10B	10	30.06.2025	5	heated	5	NA
11A	11A	11	30.06.2025	5	heated	3	NA
11B	11B	11	30.06.2025	5	control	4	NA
12A	12A	12	30.06.2025	5	heated	3	NA
12B	12B	12	30.06.2025	5	control	4	NA
13A	13A	13	30.06.2025	5	control	4	NA
13B	13B	13	30.06.2025	5	heated	3	NA
14A	14A	14	30.06.2025	5	control	4	NA
14B	14B	14	30.06.2025	5	heated	5	NA
15A	15A	15	30.06.2025	5	heated	5	NA
15B	15B	15	30.06.2025	5	control	4	NA
16A	16A	16	30.06.2025	5	heated	4	NA
16B	16B	16	30.06.2025	5	control	3	NA
1A	1A	1	15.07.2025	7	control	3	27
1B	1B	1	15.07.2025	7	heated	8	31
2A	2A	2	15.07.2025	7	control	3	29
2B	2B	2	15.07.2025	7	heated	15	1
3A	3A	3	15.07.2025	7	heated	8	0
3B	3B	3	15.07.2025	7	control	6	6
4A	4A	4	15.07.2025	7	heated	6	0
4B	4B	4	15.07.2025	7	control	90	1
5A	5A	5	15.07.2025	7	control	4	24
5B	5B	5	15.07.2025	7	heated	4	0
6A	6A	6	15.07.2025	7	control	3	24
6B	6B	6	15.07.2025	7	heated	6	0
7A	7A	7	15.07.2025	7	heated	4	0
7B	7B	7	15.07.2025	7	control	1	67
8A	8A	8	15.07.2025	7	heated	15	0
8B	8B	8	15.07.2025	7	control	10	2
9A	9A	9	15.07.2025	7	control	4	23
9B	9B	9	15.07.2025	7	heated	5	3
10A	10A	10	15.07.2025	7	control	3	53
10B	10B	10	15.07.2025	7	heated	12	0
11A	11A	11	15.07.2025	7	heated	8	3
11B	11B	11	15.07.2025	7	control	4	38
12A	12A	12	15.07.2025	7	heated	15	1
12B	12B	12	15.07.2025	7	control	4	33
13A	13A	13	15.07.2025	7	control	5	27
13B	13B	13	15.07.2025	7	heated	20	1
14A	14A	14	15.07.2025	7	control	3	7
14B	14B	14	15.07.2025	7	heated	40	1
15A	15A	15	15.07.2025	7	heated	50	0
15B	15B	15	15.07.2025	7	control	0.5	13
16A	16A	16	15.07.2025	7	heated	100	1
16B	16B	16	15.07.2025	7	control	8	2
1A	1A	1	28.07.2025	9	control	2	61
1B	1B	1	28.07.2025	9	heated	0	45
2A	2A	2	28.07.2025	9	control	0.1	56
2B	2B	2	28.07.2025	9	heated	40	0
3A	3A	3	28.07.2025	9	heated	15	5
3B	3B	3	28.07.2025	9	control	5	7
4A	4A	4	28.07.2025	9	heated	20	0
4B	4B	4	28.07.2025	9	control	100	1
5A	5A	5	28.07.2025	9	control	2	50
5B	5B	5	28.07.2025	9	heated	15	17
6A	6A	6	28.07.2025	9	control	3	54
6B	6B	6	28.07.2025	9	heated	25	1
7A	7A	7	28.07.2025	9	heated	20	13
7B	7B	7	28.07.2025	9	control	0	81
8A	8A	8	28.07.2025	9	heated	95	0
8B	8B	8	28.07.2025	9	control	30	0
9A	9A	9	28.07.2025	9	control	2	77
9B	9B	9	28.07.2025	9	heated	10	23
10A	10A	10	28.07.2025	9	control	0.5	48
10B	10B	10	28.07.2025	9	heated	40	0
11A	11A	11	28.07.2025	9	heated	30	10
11B	11B	11	28.07.2025	9	control	0.5	113
12A	12A	12	28.07.2025	9	heated	100	0
12B	12B	12	28.07.2025	9	control	3	43
13A	13A	13	28.07.2025	9	control	7	64
13B	13B	13	28.07.2025	9	heated	100	0
14A	14A	14	28.07.2025	9	control	4	0
14B	14B	14	28.07.2025	9	heated	100	1
15A	15A	15	28.07.2025	9	heated	100	0
15B	15B	15	28.07.2025	9	control	0.1	44
16A	16A	16	28.07.2025	9	heated	100	0
16B	16B	16	28.07.2025	9	control	30	4
1A	1A	1	11.08.2025	11	control	2	96
1B	1B	1	11.08.2025	11	heated	0	95
2A	2A	2	11.08.2025	11	control	0.1	177
2B	2B	2	11.08.2025	11	heated	70	2
3A	3A	3	11.08.2025	11	heated	15	11
3B	3B	3	11.08.2025	11	control	5	46
4A	4A	4	11.08.2025	11	heated	55	0
4B	4B	4	11.08.2025	11	control	100	16
5A	5A	5	11.08.2025	11	control	0.1	119
5B	5B	5	11.08.2025	11	heated	2	51
6A	6A	6	11.08.2025	11	control	2	184
6B	6B	6	11.08.2025	11	heated	25	0
7A	7A	7	11.08.2025	11	heated	12	58
7B	7B	7	11.08.2025	11	control	0	138
8A	8A	8	11.08.2025	11	heated	100	0
8B	8B	8	11.08.2025	11	control	60	0
9A	9A	9	11.08.2025	11	control	0.1	178
9B	9B	9	11.08.2025	11	heated	0.4	55
10A	10A	10	11.08.2025	11	control	0.2	123
10B	10B	10	11.08.2025	11	heated	85	0
11A	11A	11	11.08.2025	11	heated	40	22
11B	11B	11	11.08.2025	11	control	0.2	193
12A	12A	12	11.08.2025	11	heated	100	0
12B	12B	12	11.08.2025	11	control	3	104
13A	13A	13	11.08.2025	11	control	5	103
13B	13B	13	11.08.2025	11	heated	100	0
14A	14A	14	11.08.2025	11	control	6	16
14B	14B	14	11.08.2025	11	heated	100	0
15A	15A	15	11.08.2025	11	heated	100	0
15B	15B	15	11.08.2025	11	control	0.1	106
16A	16A	16	11.08.2025	11	heated	100	1
16B	16B	16	11.08.2025	11	control	30	23
1A	1A	1	25.08.2025	13	control	2	97
1B	1B	1	25.08.2025	13	heated	0	110
2A	2A	2	25.08.2025	13	control	0.1	143
2B	2B	2	25.08.2025	13	heated	80	1
3A	3A	3	25.08.2025	13	heated	10	17
3B	3B	3	25.08.2025	13	control	0	127
4A	4A	4	25.08.2025	13	heated	45	0
4B	4B	4	25.08.2025	13	control	100	8
5A	5A	5	25.08.2025	13	control	0	121
5B	5B	5	25.08.2025	13	heated	0.1	48
6A	6A	6	25.08.2025	13	control	0.2	199
6B	6B	6	25.08.2025	13	heated	40	0
7A	7A	7	25.08.2025	13	heated	7	60
7B	7B	7	25.08.2025	13	control	0	112
8A	8A	8	25.08.2025	13	heated	100	0
8B	8B	8	25.08.2025	13	control	45	0
9A	9A	9	25.08.2025	13	control	0	185
9B	9B	9	25.08.2025	13	heated	0	61
10A	10A	10	25.08.2025	13	control	0.1	119
10B	10B	10	25.08.2025	13	heated	90	0
11A	11A	11	25.08.2025	13	heated	50	16
11B	11B	11	25.08.2025	13	control	0.1	134
12A	12A	12	25.08.2025	13	heated	100	1
12B	12B	12	25.08.2025	13	control	6	114
13A	13A	13	25.08.2025	13	control	8	133
13B	13B	13	25.08.2025	13	heated	100	0
14A	14A	14	25.08.2025	13	control	8	9
14B	14B	14	25.08.2025	13	heated	100	0
15A	15A	15	25.08.2025	13	heated	100	0
15B	15B	15	25.08.2025	13	control	0.1	79
16A	16A	16	25.08.2025	13	heated	100	2
16B	16B	16	25.08.2025	13	control	20	19
1A	1A	1	08.09.2025	15	control	3	35
1B	1B	1	08.09.2025	15	heated	0	59
2A	2A	2	08.09.2025	15	control	0	83
2B	2B	2	08.09.2025	15	heated	85	0
3A	3A	3	08.09.2025	15	heated	8	16
3B	3B	3	08.09.2025	15	control	0	142
4A	4A	4	08.09.2025	15	heated	35	0
4B	4B	4	08.09.2025	15	control	100	5
5A	5A	5	08.09.2025	15	control	0	70
5B	5B	5	08.09.2025	15	heated	0.1	49
6A	6A	6	08.09.2025	15	control	0.1	93
6B	6B	6	08.09.2025	15	heated	40	0
7A	7A	7	08.09.2025	15	heated	1	44
7B	7B	7	08.09.2025	15	control	0	77
8A	8A	8	08.09.2025	15	heated	100	1
8B	8B	8	08.09.2025	15	control	50	0
9A	9A	9	08.09.2025	15	control	0	115
9B	9B	9	08.09.2025	15	heated	0	46
10A	10A	10	08.09.2025	15	control	0.1	75
10B	10B	10	08.09.2025	15	heated	90	0
11A	11A	11	08.09.2025	15	heated	90	8
11B	11B	11	08.09.2025	15	control	0	95
12A	12A	12	08.09.2025	15	heated	100	0
12B	12B	12	08.09.2025	15	control	5	28
13A	13A	13	08.09.2025	15	control	10	106
13B	13B	13	08.09.2025	15	heated	100	0
14A	14A	14	08.09.2025	15	control	8	2
14B	14B	14	08.09.2025	15	heated	100	0
15A	15A	15	08.09.2025	15	heated	100	0
15B	15B	15	08.09.2025	15	control	0.1	38
16A	16A	16	08.09.2025	15	heated	100	0
16B	16B	16	08.09.2025	15	control	50	44
1A	1A	1	23.09.2025	17	control	3	97
1B	1B	1	23.09.2025	17	heated	0.1	79
2A	2A	2	23.09.2025	17	control	0.1	112
2B	2B	2	23.09.2025	17	heated	96	0
3A	3A	3	23.09.2025	17	heated	5	34
3B	3B	3	23.09.2025	17	control	0.5	157
4A	4A	4	23.09.2025	17	heated	65	0
4B	4B	4	23.09.2025	17	control	97	21
5A	5A	5	23.09.2025	17	control	0.5	108
5B	5B	5	23.09.2025	17	heated	0.1	52
6A	6A	6	23.09.2025	17	control	0.3	146
6B	6B	6	23.09.2025	17	heated	95	0
7A	7A	7	23.09.2025	17	heated	0.1	57
7B	7B	7	23.09.2025	17	control	1	101
8A	8A	8	23.09.2025	17	heated	98	0
8B	8B	8	23.09.2025	17	control	97	0
9A	9A	9	23.09.2025	17	control	0.1	173
9B	9B	9	23.09.2025	17	heated	0.1	69
10A	10A	10	23.09.2025	17	control	0.1	81
10B	10B	10	23.09.2025	17	heated	85	0
11A	11A	11	23.09.2025	17	heated	85	15
11B	11B	11	23.09.2025	17	control	0.1	121
12A	12A	12	23.09.2025	17	heated	95	2
12B	12B	12	23.09.2025	17	control	15	45
13A	13A	13	23.09.2025	17	control	15	88
13B	13B	13	23.09.2025	17	heated	99	0
14A	14A	14	23.09.2025	17	control	35	0
14B	14B	14	23.09.2025	17	heated	95	0
15A	15A	15	23.09.2025	17	heated	97	0
15B	15B	15	23.09.2025	17	control	0.1	87
16A	16A	16	23.09.2025	17	heated	100	0
16B	16B	16	23.09.2025	17	control	93	32
1A	1A	1	21.10.2025	21	control	4	99
1B	1B	1	21.10.2025	21	heated	0.1	87
2A	2A	2	21.10.2025	21	control	0.2	85
2B	2B	2	21.10.2025	21	heated	92	0
3A	3A	3	21.10.2025	21	heated	6	65
3B	3B	3	21.10.2025	21	control	0	159
4A	4A	4	21.10.2025	21	heated	96	0
4B	4B	4	21.10.2025	21	control	98	10
5A	5A	5	21.10.2025	21	control	0.1	96
5B	5B	5	21.10.2025	21	heated	0	98
6A	6A	6	21.10.2025	21	control	0.2	114
6B	6B	6	21.10.2025	21	heated	94	4
7A	7A	7	21.10.2025	21	heated	0.05	43
7B	7B	7	21.10.2025	21	control	0.2	83
8A	8A	8	21.10.2025	21	heated	96	6
8B	8B	8	21.10.2025	21	control	94	3
9A	9A	9	21.10.2025	21	control	0.3	123
9B	9B	9	21.10.2025	21	heated	0.2	64
10A	10A	10	21.10.2025	21	control	1	73
10B	10B	10	21.10.2025	21	heated	90	0
11A	11A	11	21.10.2025	21	heated	93	2
11B	11B	11	21.10.2025	21	control	0	91
12A	12A	12	21.10.2025	21	heated	94	1
12B	12B	12	21.10.2025	21	control	20	59
13A	13A	13	21.10.2025	21	control	60	57
13B	13B	13	21.10.2025	21	heated	80	0
14A	14A	14	21.10.2025	21	control	93	0
14B	14B	14	21.10.2025	21	heated	94	1
15A	15A	15	21.10.2025	21	heated	95	0
15B	15B	15	21.10.2025	21	control	0.2	65
16A	16A	16	21.10.2025	21	heated	98	4
16B	16B	16	21.10.2025	21	control	96	17
