ID_box	round	start_day	temperature	treatment	harvest_day	snail_size_cm	fronds_start	fronds_end	snail_start	snail_end
1	1	10.11.2025	20	herbivory	11.11.2025	2.2-2.4	190	130	3	3
2	1	10.11.2025	20	herbivory	11.11.2025	2.2-2.4	190	120	3	3
3	1	10.11.2025	20	herbivory	11.11.2025	2.2-2.4	190	142	3	3
4	1	10.11.2025	20	herbivory	11.11.2025	2.2-2.4	190	129	3	3
5	1	10.11.2025	20	herbivory	11.11.2025	2.2-2.4	190	124	3	3
6	1	10.11.2025	20	control	11.11.2025	2.2-2.4	190	194	0	0
7	1	10.11.2025	20	control	11.11.2025	2.2-2.4	190	201	0	0
8	1	10.11.2025	20	control	11.11.2025	2.2-2.4	190	201	0	0
1	1	01.12.2025	24	herbivory	02.12.2025	2.2-2.4	190	177	3	3
2	1	01.12.2025	24	herbivory	02.12.2025	2.2-2.4	190	122	3	3
3	1	01.12.2025	24	herbivory	02.12.2025	2.2-2.4	190	195	3	3
4	1	01.12.2025	24	herbivory	02.12.2025	2.2-2.4	190	164	3	3
5	1	01.12.2025	24	herbivory	02.12.2025	2.2-2.4	190	176	3	3
6	1	01.12.2025	24	control	02.12.2025	2.2-2.4	190	200	0	0
7	1	01.12.2025	24	control	02.12.2025	2.2-2.4	190	195	0	0
8	1	01.12.2025	24	control	02.12.2025	2.2-2.4	190	200	0	0
1	1	12.11.2025	28	herbivory	13.11.2025	2.2-2.4	190	144	3	3
2	1	12.11.2025	28	herbivory	13.11.2025	2.2-2.4	190	103	3	3
3	1	12.11.2025	28	herbivory	13.11.2025	2.2-2.4	190	119	3	3
4	1	12.11.2025	28	herbivory	13.11.2025	2.2-2.4	190	158	3	3
5	1	12.11.2025	28	herbivory	13.11.2025	2.2-2.4	190	164	3	3
6	1	12.11.2025	28	control	13.11.2025	2.2-2.4	190	208	0	0
7	1	12.11.2025	28	control	13.11.2025	2.2-2.4	190	202	0	0
8	1	12.11.2025	28	control	13.11.2025	2.2-2.4	190	211	0	0
1	1	13.11.2025	32	herbivory	14.11.2025	2.2-2.4	190	197	3	2
2	1	13.11.2025	32	herbivory	14.11.2025	2.2-2.4	190	212	3	2
3	1	13.11.2025	32	herbivory	14.11.2025	2.2-2.4	190	181	3	3
4	1	13.11.2025	32	herbivory	14.11.2025	2.2-2.4	190	167	3	3
5	1	13.11.2025	32	herbivory	14.11.2025	2.2-2.4	190	196	3	3
6	1	13.11.2025	32	control	14.11.2025	2.2-2.4	190	216	0	0
7	1	13.11.2025	32	control	14.11.2025	2.2-2.4	190	207	0	0
8	1	13.11.2025	32	control	14.11.2025	2.2-2.4	190	211	0	0
1	2	17.11.2025	20	herbivory	18.11.2025	2.2-2.4	190	120	3	3
2	2	17.11.2025	20	herbivory	18.11.2025	2.2-2.4	190	104	3	3
3	2	17.11.2025	20	herbivory	18.11.2025	2.2-2.4	190	120	3	3
4	2	17.11.2025	20	herbivory	18.11.2025	2.2-2.4	190	148	3	3
5	2	17.11.2025	20	herbivory	18.11.2025	2.2-2.4	190	132	3	3
6	2	17.11.2025	20	control	18.11.2025	2.2-2.4	190	188	0	0
7	2	17.11.2025	20	control	18.11.2025	2.2-2.4	190	194	0	0
8	2	17.11.2025	20	control	18.11.2025	2.2-2.4	190	197	0	0
1	2	18.11.2025	24	herbivory	19.11.2025	2.2-2.4	190	92	3	3
2	2	18.11.2025	24	herbivory	19.11.2025	2.2-2.4	190	142	3	3
3	2	18.11.2025	24	herbivory	19.11.2025	2.2-2.4	190	179	3	3
4	2	18.11.2025	24	herbivory	19.11.2025	2.2-2.4	190	140	3	3
5	2	18.11.2025	24	herbivory	19.11.2025	2.2-2.4	190	130	3	3
6	2	18.11.2025	24	control	19.11.2025	2.2-2.4	190	199	0	0
7	2	18.11.2025	24	control	19.11.2025	2.2-2.4	190	197	0	0
8	2	18.11.2025	24	control	19.11.2025	2.2-2.4	190	199	0	0
1	2	19.11.2025	28	herbivory	20.11.2025	2.2-2.4	190	129	3	2
2	2	19.11.2025	28	herbivory	20.11.2025	2.2-2.4	190	78	3	3
3	2	19.11.2025	28	herbivory	20.11.2025	2.2-2.4	190	105	3	2
4	2	19.11.2025	28	herbivory	20.11.2025	2.2-2.4	190	135	3	3
5	2	19.11.2025	28	herbivory	20.11.2025	2.2-2.4	190	133	3	3
6	2	19.11.2025	28	control	20.11.2025	2.2-2.4	190	208	0	0
7	2	19.11.2025	28	control	20.11.2025	2.2-2.4	190	210	0	0
8	2	19.11.2025	28	control	20.11.2025	2.2-2.4	190	205	0	0
1	2	20.11.2025	32	herbivory	21.11.2025	2.2-2.4	190	192	3	3
2	2	20.11.2025	32	herbivory	21.11.2025	2.2-2.4	190	178	3	3
3	2	20.11.2025	32	herbivory	21.11.2025	2.2-2.4	190	186	3	3
4	2	20.11.2025	32	herbivory	21.11.2025	2.2-2.4	190	163	3	3
5	2	20.11.2025	32	herbivory	21.11.2025	2.2-2.4	190	178	3	3
6	2	20.11.2025	32	control	21.11.2025	2.2-2.4	190	224	0	0
7	2	20.11.2025	32	control	21.11.2025	2.2-2.4	190	215	0	0
8	2	20.11.2025	32	control	21.11.2025	2.2-2.4	190	218	0	0
1	3	24.11.2025	20	herbivory	25.11.2025	2.2-2.4	190	121	3	3
2	3	24.11.2025	20	herbivory	25.11.2025	2.2-2.4	190	161	3	3
3	3	24.11.2025	20	herbivory	25.11.2025	2.2-2.4	190	159	3	3
4	3	24.11.2025	20	herbivory	25.11.2025	2.2-2.4	190	148	3	3
5	3	24.11.2025	20	herbivory	25.11.2025	2.2-2.4	190	156	3	3
6	3	24.11.2025	20	control	25.11.2025	2.2-2.4	190	194	0	0
7	3	24.11.2025	20	control	25.11.2025	2.2-2.4	190	189	0	0
8	3	24.11.2025	20	control	25.11.2025	2.2-2.4	190	193	0	0
1	3	25.11.2025	24	herbivory	26.11.2025	2.2-2.4	190	168	3	3
2	3	25.11.2025	24	herbivory	26.11.2025	2.2-2.4	190	166	3	3
3	3	25.11.2025	24	herbivory	26.11.2025	2.2-2.4	190	132	3	3
4	3	25.11.2025	24	herbivory	26.11.2025	2.2-2.4	190	160	3	3
5	3	25.11.2025	24	herbivory	26.11.2025	2.2-2.4	190	160	3	3
6	3	25.11.2025	24	control	26.11.2025	2.2-2.4	190	200	0	0
7	3	25.11.2025	24	control	26.11.2025	2.2-2.4	190	200	0	0
8	3	25.11.2025	24	control	26.11.2025	2.2-2.4	190	194	0	0
1	3	26.11.2025	28	herbivory	27.11.2025	2.2-2.4	190	175	3	3
2	3	26.11.2025	28	herbivory	27.11.2025	2.2-2.4	190	144	3	3
3	3	26.11.2025	28	herbivory	27.11.2025	2.2-2.4	190	171	3	3
4	3	26.11.2025	28	herbivory	27.11.2025	2.2-2.4	190	195	3	3
5	3	26.11.2025	28	herbivory	27.11.2025	2.2-2.4	190	147	3	3
6	3	26.11.2025	28	control	27.11.2025	2.2-2.4	190	204	0	0
7	3	26.11.2025	28	control	27.11.2025	2.2-2.4	190	207	0	0
8	3	26.11.2025	28	control	27.11.2025	2.2-2.4	190	209	0	0
1	3	27.11.2025	32	herbivory	28.11.2025	2.2-2.4	190	179	3	3
2	3	27.11.2025	32	herbivory	28.11.2025	2.2-2.4	190	203	3	3
3	3	27.11.2025	32	herbivory	28.11.2025	2.2-2.4	190	204	3	2
