ID	block	pond_recipient	daphnia_origin	pond_host	water_origin	daphnia_start	daphnia_end
1A_2A(2A)	2	2A	control	control	control	50	9
1A_2A(2B)	2	2A	control	control	heated	50	8
1A_2B(2A)	2	2B	control	heated	control	50	37
1A_2B(2B)	2	2B	control	heated	heated	50	12
1B_2A(2A)	2	2A	heated	control	control	50	23
1B_2A(2B)	2	2A	heated	control	heated	50	17
1B_2B(2A)	2	2B	heated	heated	control	50	36
1B_2B(2B)	2	2B	heated	heated	heated	50	14
2A_1A(1A)	1	1A	control	control	control	50	15
2A_1A(1B)	1	1A	control	control	heated	50	24
2A_1B(1A)	1	1B	control	heated	control	50	28
2A_1B(1B)	1	1B	control	heated	heated	50	20
2B_1A(1A)	1	1A	heated	control	control	50	1
2B_1A(1B)	1	1A	heated	control	heated	50	21
2B_1B(1A)	1	1B	heated	heated	control	50	15
2B_1B(1B)	1	1B	heated	heated	heated	50	16
3A_4A(4A)	4	4A	heated	heated	heated	50	3
3A_4A(4B)	4	4A	heated	heated	control	50	4
3A_4B(4A)	4	4B	heated	control	heated	50	11
3A_4B(4B)	4	4B	heated	control	control	50	1
3B_4A(4A)	4	4A	control	heated	heated	50	7
3B_4A(4B)	4	4A	control	heated	control	50	0
3B_4B(4A)	4	4B	control	control	heated	50	3
3B_4B(4B)	4	4B	control	control	control	50	0
4A_3A(3A)	3	3A	heated	heated	heated	50	8
4A_3A(3B)	3	3A	heated	heated	control	50	14
4A_3B(3A)	3	3B	heated	control	heated	50	3
4A_3B(3B)	3	3B	heated	control	control	50	7
4B_3A(3A)	3	3A	control	heated	heated	50	10
4B_3A(3B)	3	3A	control	heated	control	50	6
4B_3B(3A)	3	3B	control	control	heated	50	0
4B_3B(3B)	3	3B	control	control	control	50	5
5A_6A(6A)	6	6A	control	control	control	50	20
5A_6A(6B)	6	6A	control	control	heated	50	4
5A_6B(6A)	6	6B	control	heated	control	50	21
5A_6B(6B)	6	6B	control	heated	heated	50	1
5B_6A(6A)	6	6A	heated	control	control	50	7
5B_6A(6B)	6	6A	heated	control	heated	50	6
5B_6B(6A)	6	6B	heated	heated	control	50	11
5B_6B(6B)	6	6B	heated	heated	heated	50	10
6A_5A(5A)	5	5A	control	control	control	50	31
6A_5A(5B)	5	5A	control	control	heated	50	5
6A_5B(5A)	5	5B	control	heated	control	50	23
6A_5B(5B)	5	5B	control	heated	heated	50	7
6B_5A(5A)	5	5A	heated	control	control	50	0
6B_5A(5B)	5	5A	heated	control	heated	50	4
6B_5B(5A)	5	5B	heated	heated	control	50	26
6B_5B(5B)	5	5B	heated	heated	heated	50	1
7A_8A(8A)	8	8A	heated	heated	heated	50	6
7A_8A(8B)	8	8A	heated	heated	control	50	27
7A_8B(8A)	8	8B	heated	control	heated	50	15
7A_8B(8B)	8	8B	heated	control	control	50	28
7B_8A(8A)	8	8A	control	heated	heated	50	9
7B_8A(8B)	8	8A	control	heated	control	50	37
7B_8B(8A)	8	8B	control	control	heated	50	20
7B_8B(8B)	8	8B	control	control	control	50	38
8A_7A(7A)	7	7A	heated	heated	heated	50	9
8A_7A(7B)	7	7A	heated	heated	control	50	21
8A_7B(7A)	7	7B	heated	control	heated	50	13
8A_7B(7B)	7	7B	heated	control	control	50	27
8B_7A(7A)	7	7A	control	heated	heated	50	17
8B_7A(7B)	7	7A	control	heated	control	50	23
8B_7B(7A)	7	7B	control	control	heated	50	7
8B_7B(7B)	7	7B	control	control	control	50	17
9A_10A(10A)	10	10A	control	control	control	50	37
9A_10A(10B)	10	10A	control	control	heated	50	21
9A_10B(10A)	10	10B	control	heated	control	50	17
9A_10B(10B)	10	10B	control	heated	heated	50	32
9B_10A(10A)	10	10A	heated	control	control	50	10
9B_10A(10B)	10	10A	heated	control	heated	50	6
9B_10B(10A)	10	10B	heated	heated	control	50	36
9B_10B(10B)	10	10B	heated	heated	heated	50	9
10A_9A(9A)	9	9A	control	control	control	50	40
10A_9A(9B)	9	9A	control	control	heated	50	24
10A_9B(9A)	9	9B	control	heated	control	50	32
10A_9B(9B)	9	9B	control	heated	heated	50	25
10B_9A(9A)	9	9A	heated	control	control	50	26
10B_9A(9B)	9	9A	heated	control	heated	50	21
10B_9B(9A)	9	9B	heated	heated	control	50	23
10B_9B(9B)	9	9B	heated	heated	heated	50	3
11A_12A(12A)	12	12A	heated	heated	heated	50	11
11A_12A(12B)	12	12A	heated	heated	control	50	6
11A_12B(12A)	12	12B	heated	control	heated	50	6
11A_12B(12B)	12	12B	heated	control	control	50	24
11B_12A(12A)	12	12A	control	heated	heated	50	8
11B_12A(12B)	12	12A	control	heated	control	50	12
11B_12B(12A)	12	12B	control	control	heated	50	9
11B_12B(12B)	12	12B	control	control	control	50	43
12A_11A(11A)	11	11A	heated	heated	heated	50	0
12A_11A(11B)	11	11A	heated	heated	control	50	27
12A_11B(11A)	11	11B	heated	control	heated	50	2
12A_11B(11B)	11	11B	heated	control	control	50	33
12B_11A(11A)	11	11A	control	heated	heated	50	14
12B_11A(11B)	11	11A	control	heated	control	50	37
12B_11B(11A)	11	11B	control	control	heated	50	12
12B_11B(11B)	11	11B	control	control	control	50	36
13A_14A(14A)	14	14A	control	control	control	50	21
13A_14A(14B)	14	14A	control	control	heated	50	10
13A_14B(14A)	14	14B	control	heated	control	50	32
13A_14B(14B)	14	14B	control	heated	heated	50	7
13B_14A(14A)	14	14A	heated	control	control	50	29
13B_14A(14B)	14	14A	heated	control	heated	50	11
13B_14B(14A)	14	14B	heated	heated	control	50	37
13B_14B(14B)	14	14B	heated	heated	heated	50	9
14A_13A(13A)	13	13A	control	control	control	50	17
14A_13A(13B)	13	13A	control	control	heated	50	16
14A_13B(13A)	13	13B	control	heated	control	50	33
14A_13B(13B)	13	13B	control	heated	heated	50	13
14B_13A(13A)	13	13A	heated	control	control	50	16
14B_13A(13B)	13	13A	heated	control	heated	50	8
14B_13B(13A)	13	13B	heated	heated	control	50	10
14B_13B(13B)	13	13B	heated	heated	heated	50	9
15A_16A(16A)	16	16A	heated	heated	heated	50	10
15A_16A(16B)	16	16A	heated	heated	control	50	19
15A_16B(16A)	16	16B	heated	control	heated	50	7
15A_16B(16B)	16	16B	heated	control	control	50	50
15B_16A(16A)	16	16A	control	heated	heated	50	4
15B_16A(16B)	16	16A	control	heated	control	50	61
15B_16B(16A)	16	16B	control	control	heated	50	11
15B_16B(16B)	16	16B	control	control	control	50	43
16A_15A(15A)	15	15A	heated	heated	heated	50	9
16A_15A(15B)	15	15A	heated	heated	control	50	7
16A_15B(15A)	15	15B	heated	control	heated	50	11
16A_15B(15B)	15	15B	heated	control	control	50	17
16B_15A(15A)	15	15A	control	heated	heated	50	7
16B_15A(15B)	15	15A	control	heated	control	50	59
16B_15B(15A)	15	15B	control	control	heated	50	34
16B_15B(15B)	15	15B	control	control	control	50	19
