ID	pond	block	treatment	date	timepoint	number_daphnia			
ref1	NA	NA	ref	28.05.2025	0	213			
ref2	NA	NA	ref	28.05.2025	0	416			
ref3	NA	NA	ref	28.05.2025	0	494			
1A	1A	1	control	17.06.2025	3	752			
1B	1B	1	heated	17.06.2025	3	900			
2A	2A	2	control	17.06.2025	3	733			
2B	2B	2	heated	17.06.2025	3	224			
3A	3A	3	heated	17.06.2025	3	863			
3B	3B	3	control	17.06.2025	3	362			
4A	4A	4	heated	17.06.2025	3	950			
4B	4B	4	control	17.06.2025	3	298			
5A	5A	5	control	17.06.2025	3	419			
5B	5B	5	heated	17.06.2025	3	632			
6A	6A	6	control	17.06.2025	3	374			
6B	6B	6	heated	17.06.2025	3	838			
7A	7A	7	heated	17.06.2025	3	986			
7B	7B	7	control	17.06.2025	3	427			
8A	8A	8	heated	17.06.2025	3	272			
8B	8B	8	control	17.06.2025	3	608			
9A	9A	9	control	17.06.2025	3	343			
9B	9B	9	heated	17.06.2025	3	348			
10A	10A	10	control	17.06.2025	3	602			
10B	10B	10	heated	17.06.2025	3	614			
11A	11A	11	heated	17.06.2025	3	587			
11B	11B	11	control	17.06.2025	3	359			
12A	12A	12	heated	17.06.2025	3	708			
12B	12B	12	control	17.06.2025	3	260			
13A	13A	13	control	17.06.2025	3	559			
13B	13B	13	heated	17.06.2025	3	550			
14A	14A	14	control	17.06.2025	3	541			
14B	14B	14	heated	17.06.2025	3	762			
15A	15A	15	heated	17.06.2025	3	345			
15B	15B	15	control	17.06.2025	3	298			
16A	16A	16	heated	17.06.2025	3	302			
16B	16B	16	control	17.06.2025	3	284			
1A	1A	1	control	30.06.2025	5	392			
1B	1B	1	heated	30.06.2025	5	319			
2A	2A	2	control	30.06.2025	5	177			
2B	2B	2	heated	30.06.2025	5	239			
3A	3A	3	heated	30.06.2025	5	274			
3B	3B	3	control	30.06.2025	5	1200			
4A	4A	4	heated	30.06.2025	5	288			
4B	4B	4	control	30.06.2025	5	284			
5A	5A	5	control	30.06.2025	5	490			
5B	5B	5	heated	30.06.2025	5	172			
6A	6A	6	control	30.06.2025	5	192			
6B	6B	6	heated	30.06.2025	5	204			
7A	7A	7	heated	30.06.2025	5	328			
7B	7B	7	control	30.06.2025	5	512			
8A	8A	8	heated	30.06.2025	5	405			
8B	8B	8	control	30.06.2025	5	1298			
9A	9A	9	control	30.06.2025	5	574			
9B	9B	9	heated	30.06.2025	5	352			
10A	10A	10	control	30.06.2025	5	1195			
10B	10B	10	heated	30.06.2025	5	389			
11A	11A	11	heated	30.06.2025	5	245			
11B	11B	11	control	30.06.2025	5	250			
12A	12A	12	heated	30.06.2025	5	900			
12B	12B	12	control	30.06.2025	5	517			
13A	13A	13	control	30.06.2025	5	452			
13B	13B	13	heated	30.06.2025	5	398			
14A	14A	14	control	30.06.2025	5	645			
14B	14B	14	heated	30.06.2025	5	227			
15A	15A	15	heated	30.06.2025	5	269			
15B	15B	15	control	30.06.2025	5	270			
16A	16A	16	heated	30.06.2025	5	459			
16B	16B	16	control	30.06.2025	5	690			
1A	1A	1	control	15.07.2025	7	554			
1B	1B	1	heated	15.07.2025	7	52			
2A	2A	2	control	15.07.2025	7	306			
2B	2B	2	heated	15.07.2025	7	102			
3A	3A	3	heated	15.07.2025	7	24			
3B	3B	3	control	15.07.2025	7	334			
4A	4A	4	heated	15.07.2025	7	196			
4B	4B	4	control	15.07.2025	7	452			
5A	5A	5	control	15.07.2025	7	91			
5B	5B	5	heated	15.07.2025	7	202			
6A	6A	6	control	15.07.2025	7	786			
6B	6B	6	heated	15.07.2025	7	1			
7A	7A	7	heated	15.07.2025	7	101			
7B	7B	7	control	15.07.2025	7	954			
8A	8A	8	heated	15.07.2025	7	200			
8B	8B	8	control	15.07.2025	7	999			
9A	9A	9	control	15.07.2025	7	980			
9B	9B	9	heated	15.07.2025	7	185			
10A	10A	10	control	15.07.2025	7	986			
10B	10B	10	heated	15.07.2025	7	93			
11A	11A	11	heated	15.07.2025	7	257			
11B	11B	11	control	15.07.2025	7	960			
12A	12A	12	heated	15.07.2025	7	127			
12B	12B	12	control	15.07.2025	7	460			
13A	13A	13	control	15.07.2025	7	201			
13B	13B	13	heated	15.07.2025	7	230			
14A	14A	14	control	15.07.2025	7	246			
14B	14B	14	heated	15.07.2025	7	369			
15A	15A	15	heated	15.07.2025	7	329			
15B	15B	15	control	15.07.2025	7	146			
16A	16A	16	heated	15.07.2025	7	419			
16B	16B	16	control	15.07.2025	7	989			
1A	1A	1	control	28.07.2025	9	600			
1B	1B	1	heated	28.07.2025	9	526			
2A	2A	2	control	28.07.2025	9	601			
2B	2B	2	heated	28.07.2025	9	203			
3A	3A	3	heated	28.07.2025	9	960			
3B	3B	3	control	28.07.2025	9	313			
4A	4A	4	heated	28.07.2025	9	109			
4B	4B	4	control	28.07.2025	9	276			
5A	5A	5	control	28.07.2025	9	684			
5B	5B	5	heated	28.07.2025	9	721			
6A	6A	6	control	28.07.2025	9	1196			
6B	6B	6	heated	28.07.2025	9	8			
7A	7A	7	heated	28.07.2025	9	438			
7B	7B	7	control	28.07.2025	9	610			
8A	8A	8	heated	28.07.2025	9	153			
8B	8B	8	control	28.07.2025	9	343			
9A	9A	9	control	28.07.2025	9	1293			
9B	9B	9	heated	28.07.2025	9	265			
10A	10A	10	control	28.07.2025	9	697			
10B	10B	10	heated	28.07.2025	9	196			
11A	11A	11	heated	28.07.2025	9	313			
11B	11B	11	control	28.07.2025	9	467			
12A	12A	12	heated	28.07.2025	9	139			
12B	12B	12	control	28.07.2025	9	749			
