ID	pond	block	treatment	date	timepoint	chla
1A	1A	1	control	26/05/2025	0	2.96
4B	4B	4	control	26/05/2025	0	8.29
5A	5A	5	control	26/05/2025	0	8.71
8B	8B	8	control	26/05/2025	0	10.26
9A	9A	9	control	26/05/2025	0	22.44
12B	12B	12	control	26/05/2025	0	13.99
13A	13A	13	control	26/05/2025	0	15.89
16B	16B	16	control	26/05/2025	0	12.61
1B	1B	1	heated	26/05/2025	0	2.06
4A	4A	4	heated	26/05/2025	0	3.70
5B	5B	5	heated	26/05/2025	0	9.86
8A	8A	8	heated	26/05/2025	0	19.67
9B	9B	9	heated	26/05/2025	0	20.48
12A	12A	12	heated	26/05/2025	0	12.75
13B	13B	13	heated	26/05/2025	0	62.09
16A	16A	16	heated	26/05/2025	0	7.57
1A	1A	1	control	02/06/2025	1	11.36
4B	4B	4	control	02/06/2025	1	7.71
5A	5A	5	control	02/06/2025	1	10.57
8B	8B	8	control	02/06/2025	1	10.27
9A	9A	9	control	02/06/2025	1	11.38
12B	12B	12	control	02/06/2025	1	6.83
13A	13A	13	control	02/06/2025	1	8.17
16B	16B	16	control	02/06/2025	1	11.96
1B	1B	1	heated	02/06/2025	1	13.94
4A	4A	4	heated	02/06/2025	1	6.91
5B	5B	5	heated	02/06/2025	1	10.91
8A	8A	8	heated	02/06/2025	1	8.98
9B	9B	9	heated	02/06/2025	1	12.37
12A	12A	12	heated	02/06/2025	1	16.52
13B	13B	13	heated	02/06/2025	1	12.15
16A	16A	16	heated	02/06/2025	1	20.16
1A	1A	1	control	17/06/2025	3	5.46
2A	2A	2	control	17/06/2025	3	6.07
3B	3B	3	control	17/06/2025	3	3.35
4B	4B	4	control	17/06/2025	3	3.20
5A	5A	5	control	17/06/2025	3	6.08
6A	6A	6	control	17/06/2025	3	3.42
7B	7B	7	control	17/06/2025	3	6.11
8B	8B	8	control	17/06/2025	3	7.26
9A	9A	9	control	17/06/2025	3	11.35
10A	10A	10	control	17/06/2025	3	4.66
11B	11B	11	control	17/06/2025	3	1.11
12B	12B	12	control	17/06/2025	3	3.46
13A	13A	13	control	17/06/2025	3	4.73
14A	14A	14	control	17/06/2025	3	8.11
15B	15B	15	control	17/06/2025	3	5.33
16B	16B	16	control	17/06/2025	3	8.90
1B	1B	1	heated	17/06/2025	3	0.68
2B	2B	2	heated	17/06/2025	3	0.85
3A	3A	3	heated	17/06/2025	3	1.21
4A	4A	4	heated	17/06/2025	3	1.41
5B	5B	5	heated	17/06/2025	3	0.89
6B	6B	6	heated	17/06/2025	3	1.31
7A	7A	7	heated	17/06/2025	3	2.94
8A	8A	8	heated	17/06/2025	3	1.37
9B	9B	9	heated	17/06/2025	3	0.91
10B	10B	10	heated	17/06/2025	3	2.21
